CHR	START	END	QVAL_LTR	CHR_OVERLAP	START_GENE	END_GENE	GENE_ID	GENE_NAME	NT_OVERLAP
chr2R	12876728	12876729	0.029514506	chr2R	12875164	12877280	FBgn0263445	asRNA:CR43468	1

chr2R	12954862	12954863	0.022089924	chr2R	12953112	12955712	FBgn0033787	CG13321	1

chr2R	12958584	12958585	0.017532409	.	-1	-1		.	0

chr2R	12961209	12961210	0.040908893	.	-1	-1		.	0

chr2R	13019087	13019088	0.02391358	.	-1	-1		.	0

chr2R	13022683	13022684	0.046230306	.	-1	-1		.	0

chr2R	13112407	13112408	7.95E-05	chr2R	13110769	13126014	FBgn0033792	CG13325	1

chr2R	13117740	13117741	0.011132875	chr2R	13110769	13126014	FBgn0033792	CG13325	1

chr2R	13211587	13211588	0.047079354	chr2R	13209809	13212237	FBgn0050058	CG30058	1

chr2R	13211587	13211588	0.047079354	chr2R	13209809	13212237	FBgn0085264	CG34235	1

chr2R	13211587	13211588	0.047079354	chr2R	13209809	13212237	FBgn0085341	CG34312	1

chr2R	13213119	13213120	0.034275922	chr2R	13212405	13214496	FBgn0033807	AQP	1

chr2R	13236630	13236631	0.02296313	chr2R	13235980	13237055	FBgn0033815	CG4676	1

chr2R	13360693	13360694	0.032810899	.	-1	-1		.	0

chr2R	13441392	13441393	0.008557571	chr2R	13439314	13450475	FBgn0013765	cnn	1

chr2R	13467647	13467648	0.048699793	chr2R	13453640	13483229	FBgn0000119	arr	1

chr2R	13538859	13538860	0.001090286	chr2R	13537371	13547577	FBgn0033853	CG6145	1

chr2R	13556389	13556390	0.031977278	chr2R	13555949	13557342	FBgn0033855	link	1

chr2R	13556848	13556849	0.002059653	chr2R	13555949	13557342	FBgn0033855	link	1

chr2R	13710380	13710381	0.030785067	chr2R	13623044	13749367	FBgn0000633	CG17716	1

chr2R	13749070	13749071	0.024335279	chr2R	13623044	13749367	FBgn0000633	CG17716	1

chr2R	13756098	13756099	0.02577707	chr2R	13753964	13758971	FBgn0033866	CG6280	1

chr2R	13756332	13756333	0.045480557	chr2R	13753964	13758971	FBgn0033866	CG6280	1

chr2R	13758068	13758069	0.016603159	chr2R	13753964	13758971	FBgn0033866	CG6280	1

chr2R	13766852	13766853	0.048699793	.	-1	-1		.	0

chr2R	13774674	13774675	0.003639138	chr2R	13769915	13787802	FBgn0033867	Cpr50Ca	1

chr2R	13816517	13816518	0.032036055	chr2R	13805794	13819571	FBgn0261041	stj	1

chr2R	13889172	13889173	0.026818084	chr2R	13864237	13942110	FBgn0013733	shot	1

chr2R	13894397	13894398	0.042966431	chr2R	13864237	13942110	FBgn0013733	shot	1

chr2R	13898231	13898232	0.040812145	chr2R	13864237	13942110	FBgn0013733	shot	1

chr2R	13907652	13907653	0.004217283	chr2R	13864237	13942110	FBgn0013733	shot	1

chr2R	14057240	14057241	0.04945869	chr2R	13991203	14060356	FBgn0002643	mam	1

chr2R	14121267	14121268	0.018815086	chr2R	14060456	14140902	FBgn0040752	Prosap	1

chr2R	14167431	14167432	0.003838602	chr2R	14166982	14168233	FBgn0033904	CG18327	1

chr2R	14186439	14186440	0.014100471	chr2R	14185204	14198368	FBgn0050069	CG30069	1

chr2R	14188930	14188931	0.04581357	chr2R	14185204	14198368	FBgn0050069	CG30069	1

chr2R	14390312	14390313	0.035053169	.	-1	-1		.	0

chr2R	14420909	14420910	0.016306889	chr2R	14420324	14424764	FBgn0033936	Achl	1

chr2R	14450998	14450999	0.049682145	chr2R	14435899	14465881	FBgn0284250	Oaz	1

chr2R	14630089	14630090	0.010855815	chr2R	14629910	14631023	FBgn0033949	Had2	1

chr2R	14656726	14656727	0.016306889	.	-1	-1		.	0

chr2R	14659117	14659118	0.040832804	.	-1	-1		.	0

chr2R	14739151	14739152	0.031865559	chr2R	14737578	14739242	FBgn0263376	lncRNA:CR43428	1

chr2R	14741626	14741627	0.01355873	chr2R	14739359	14745335	FBgn0033958	jef	1

chr2R	14741905	14741906	0.005551837	chr2R	14739359	14745335	FBgn0033958	jef	1

chr2R	14775857	14775858	0.040922437	chr2R	14772650	14807061	FBgn0001319	kn	1

chr2R	14778945	14778946	0.042734602	chr2R	14772650	14807061	FBgn0001319	kn	1

chr2R	14778952	14778953	0.015364075	chr2R	14772650	14807061	FBgn0001319	kn	1

chr2R	14782922	14782923	0.039094486	chr2R	14772650	14807061	FBgn0001319	kn	1

chr2R	14902824	14902825	0.023052855	chr2R	14898312	14903095	FBgn0033982	Cyp317a1	1

chr2R	14902824	14902825	0.023052855	chr2R	14901475	14928425	FBgn0027596	Kank	1

chr2R	14904937	14904938	0.037746113	chr2R	14901475	14928425	FBgn0027596	Kank	1

chr2R	14972621	14972622	0.000189039	chr2R	14963292	14980795	FBgn0033987	ckn	1

chr2R	14986685	14986686	4.75E-05	chr2R	14981263	14991336	FBgn0033988	pcs	1

chr2R	15105474	15105475	0.007507732	.	-1	-1		.	0

chr2R	15191156	15191157	0.045519412	.	-1	-1		.	0

chr2R	15191220	15191221	0.030534142	.	-1	-1		.	0

chr2R	15252550	15252551	0.002132535	chr2R	15248784	15258498	FBgn0003328	scb	1

chr2R	15356039	15356040	0.024029677	chr2R	15340472	15368300	FBgn0034013	unc-5	1

chr2R	15508064	15508065	0.034952231	chr2R	15506582	15508366	FBgn0050464	Ir52d	1

chr2R	15566839	15566840	0.018543508	chr2R	15566271	15569404	FBgn0024754	Flo1	1

chr2R	15596565	15596566	0.00333917	.	-1	-1		.	0

chr2R	15604645	15604646	0.014187075	.	-1	-1		.	0

chr2R	15677332	15677333	0.016624608	chr2R	15677218	15678956	FBgn0034035	CG8207	1

chr2R	15692494	15692495	0.020181403	chr2R	15691054	15693887	FBgn0265510	asRNA:CR44372	1

chr2R	15692494	15692495	0.020181403	chr2R	15692448	15693751	FBgn0050087	CG30087	1

chr2R	15733378	15733379	0.047930993	chr2R	15727381	15762044	FBgn0050089	CG30089	1

chr2R	15772354	15772355	0.015143108	chr2R	15762565	15817004	FBgn0265991	Zasp52	1

chr2R	15813650	15813651	0.002501082	chr2R	15762565	15817004	FBgn0265991	Zasp52	1

chr2R	15813650	15813651	0.002501082	chr2R	15794000	15855645	FBgn0034046	tun	1

chr2R	15824696	15824697	0.018958404	chr2R	15794000	15855645	FBgn0034046	tun	1

chr2R	15833886	15833887	0.035021358	chr2R	15794000	15855645	FBgn0034046	tun	1

chr2R	15833886	15833887	0.035021358	chr2R	15826693	15835055	FBgn0003130	Poxn	1

chr2R	15847250	15847251	0.03538363	chr2R	15794000	15855645	FBgn0034046	tun	1

chr2R	15847250	15847251	0.03538363	chr2R	15842760	15847362	FBgn0034045	CG8249	1

chr2R	15847649	15847650	0.031977278	chr2R	15794000	15855645	FBgn0034046	tun	1

chr2R	15889551	15889552	3.24E-07	chr2R	15869495	15922118	FBgn0264089	sli	1

chr2R	15890851	15890852	0.037310365	chr2R	15869495	15922118	FBgn0264089	sli	1

chr2R	15961341	15961342	0.035787471	chr2R	15946933	15989498	FBgn0265045	Strn-Mlck	1

chr2R	15961490	15961491	0.040686334	chr2R	15946933	15989498	FBgn0265045	Strn-Mlck	1

chr2R	15987766	15987767	0.003512322	chr2R	15987446	15988086	FBgn0266379	lncRNA:CR45021	1

chr2R	15987766	15987767	0.003512322	chr2R	15946933	15989498	FBgn0265045	Strn-Mlck	1

chr2R	15988450	15988451	0.046054681	chr2R	15946933	15989498	FBgn0265045	Strn-Mlck	1

chr2R	16009137	16009138	0.001083608	chr2R	16008339	16013815	FBgn0034063	CG8389	1

chr2R	16054893	16054894	0.03088347	chr2R	16047648	16060835	FBgn0034071	CG8405	1

chr2R	16055123	16055124	0.024684202	chr2R	16047648	16060835	FBgn0034071	CG8405	1

chr2R	16088443	16088444	0.010572605	chr2R	16081176	16098564	FBgn0034072	Dg	1

chr2R	16117662	16117663	0.005404443	chr2R	16117109	16119149	FBgn0034076	Jhedup	1

chr2R	16121097	16121098	0.019476083	chr2R	16119793	16122773	FBgn0010052	Jhe	1

chr2R	16121103	16121104	0.016013855	chr2R	16119793	16122773	FBgn0010052	Jhe	1

chr2R	16136007	16136008	0.016005236	chr2R	16124981	16138238	FBgn0086676	spin	1

chr2R	16173044	16173045	0.000263389	chr2R	16171112	16178307	FBgn0034085	Ptp52F	1

chr2R	16218416	16218417	0.026103335	chr2R	16203329	16221793	FBgn0034091	mrj	1

chr2R	16244973	16244974	0.003403993	chr2R	16243145	16259805	FBgn0261612	CngA	1

chr2R	16245253	16245254	0.001126195	chr2R	16243145	16259805	FBgn0261612	CngA	1

chr2R	16248350	16248351	0.026589216	chr2R	16243145	16259805	FBgn0261612	CngA	1

chr2R	16278050	16278051	0.045740691	chr2R	16277685	16278396	FBgn0024249	cato	1

chr2R	16278512	16278513	0.012942597	.	-1	-1		.	0

chr2R	16282676	16282677	0.030220028	chr2R	16281630	16282946	FBgn0034105	CG7755	1

chr2R	16282849	16282850	0.004906206	chr2R	16281630	16282946	FBgn0034105	CG7755	1

chr2R	16285274	16285275	0.015008033	chr2R	16283435	16287450	FBgn0034106	CG9068	1

chr2R	16290494	16290495	0.00895429	chr2R	16288927	16291474	FBgn0263981	asRNA:CR43730	1

chr2R	16290494	16290495	0.00895429	chr2R	16289320	16291333	FBgn0028424	JhI-26	1

chr2R	16295264	16295265	0.001475163	chr2R	16294400	16297232	FBgn0034110	Atg9	1

chr2R	16297908	16297909	0.000772054	chr2R	16297449	16306695	FBgn0267793	lncRNA:CR45232	1

chr2R	16334175	16334176	0.00762705	chr2R	16324813	16336637	FBgn0262511	Vha44	1

chr2R	16361824	16361825	0.024519571	chr2R	16359730	16363524	FBgn0034121	CG6262	1

chr2R	16364552	16364553	6.07E-05	chr2R	16363551	16365895	FBgn0034122	CG15711	1

chr2R	16364632	16364633	0.041848388	chr2R	16363551	16365895	FBgn0034122	CG15711	1

chr2R	16364773	16364774	0.026342215	chr2R	16363551	16365895	FBgn0034122	CG15711	1

chr2R	16391450	16391451	0.019694433	chr2R	16386524	16431758	FBgn0264273	Sema2b	1

chr2R	16433589	16433590	0.030534142	.	-1	-1		.	0

chr2R	16460079	16460080	0.029466071	.	-1	-1		.	0

chr2R	16475513	16475514	0.004423805	.	-1	-1		.	0

chr2R	16512796	16512797	0.007237736	chr2R	16500178	16533459	FBgn0011260	Sema2a	1

chr2R	16526663	16526664	0.000262554	chr2R	16500178	16533459	FBgn0011260	Sema2a	1

chr2R	16526923	16526924	0.037687289	chr2R	16500178	16533459	FBgn0011260	Sema2a	1

chr2R	16537820	16537821	0.010219484	.	-1	-1		.	0

chr2R	16566430	16566431	0.012027941	chr2R	16566023	16570120	FBgn0034137	CG4945	1

chr2R	16589115	16589116	0.02565223	chr2R	16587045	16589184	FBgn0034141	CG8311	1

chr2R	16590082	16590083	0.01985471	chr2R	16589518	16594646	FBgn0034142	CG8306	1

chr2R	16591233	16591234	0.011173126	chr2R	16589518	16594646	FBgn0034142	CG8306	1

chr2R	16591545	16591546	0.006612555	chr2R	16589518	16594646	FBgn0034142	CG8306	1

chr2R	16596078	16596079	0.041946958	chr2R	16595028	16604373	FBgn0034143	CG8303	1

chr2R	16619593	16619594	0.008510531	chr2R	16607654	16624894	FBgn0034145	CG5065	1

chr2R	16622219	16622220	0.042734602	chr2R	16607654	16624894	FBgn0034145	CG5065	1

chr2R	16630420	16630421	0.013530448	chr2R	16625293	16640011	FBgn0040505	Alk	1

chr2R	16631178	16631179	0.003907595	chr2R	16625293	16640011	FBgn0040505	Alk	1

chr2R	16635088	16635089	0.028567881	chr2R	16625293	16640011	FBgn0040505	Alk	1

chr2R	16652023	16652024	0.000422758	chr2R	16651095	16652699	FBgn0020506	Amyrel	1

chr2R	16656781	16656782	0.015497165	chr2R	16655323	16667675	FBgn0024315	Picot	1

chr2R	16688138	16688139	0.029381298	chr2R	16673235	16732916	FBgn0050463	CG30463	1

chr2R	16699857	16699858	0.005373934	chr2R	16673235	16732916	FBgn0050463	CG30463	1

chr2R	16700115	16700116	0.045637146	chr2R	16673235	16732916	FBgn0050463	CG30463	1

chr2R	16704116	16704117	0.007402866	chr2R	16673235	16732916	FBgn0050463	CG30463	1

chr2R	16717953	16717954	0.038221741	chr2R	16673235	16732916	FBgn0050463	CG30463	1

chr2R	16722030	16722031	0.031709054	chr2R	16673235	16732916	FBgn0050463	CG30463	1

chr2R	16748150	16748151	0.048901074	chr2R	16747834	16748590	FBgn0034152	Acp53C14a	1

chr2R	16755582	16755583	0.038422867	chr2R	16755073	16755823	FBgn0034154	CG5267	1

chr2R	16755582	16755583	0.038422867	chr2R	16751503	16772671	FBgn0267002	unc-104	1

chr2R	16758117	16758118	0.011755617	chr2R	16751503	16772671	FBgn0267002	unc-104	1

chr2R	16776927	16776928	0.00020186	.	-1	-1		.	0

chr2R	16782877	16782878	0.010888912	chr2R	16779905	16783171	FBgn0034157	resilin	1

chr2R	16790219	16790220	1.76E-05	chr2R	16783671	16792472	FBgn0034158	CG5522	1

chr2R	16818115	16818116	0.049933434	chr2R	16817519	16819240	FBgn0263336	lncRNA:CR43417	1

chr2R	16874347	16874348	0.024684202	chr2R	16873772	16874977	FBgn0034165	CG6435	1

chr2R	16940745	16940746	0.048678821	chr2R	16924655	16945126	FBgn0003091	Pkc53E	1

chr2R	16979440	16979441	0.027067706	chr2R	16973927	16996057	FBgn0004580	Cbp53E	1

chr2R	17000902	17000903	0.042216283	chr2R	17000244	17001941	FBgn0034176	ste24a	1

chr2R	17017530	17017531	0.018183968	chr2R	17016226	17019522	FBgn0034181	CG8963	1

chr2R	17024040	17024041	0.010794807	chr2R	17023652	17026993	FBgn0265540	asRNA:CR44390	1

chr2R	17024040	17024041	0.010794807	chr2R	17020027	17026703	FBgn0263864	Dark	1

chr2R	17025984	17025985	0.035940986	chr2R	17023652	17026993	FBgn0265540	asRNA:CR44390	1

chr2R	17025984	17025985	0.035940986	chr2R	17020027	17026703	FBgn0263864	Dark	1

chr2R	17031692	17031693	0.001088158	chr2R	17027190	17044653	FBgn0023172	RhoGEF2	1

chr2R	17040957	17040958	0.022626154	chr2R	17040195	17043298	FBgn0266638	asRNA:CR45145	1

chr2R	17040957	17040958	0.022626154	chr2R	17027190	17044653	FBgn0023172	RhoGEF2	1

chr2R	17063729	17063730	0.000402887	chr2R	17062775	17066546	FBgn0034187	CG6967	1

chr2R	17067439	17067440	0.00034905	chr2R	17065971	17087633	FBgn0050460	CG30460	1

chr2R	17069116	17069117	0.037792046	chr2R	17065971	17087633	FBgn0050460	CG30460	1

chr2R	17069268	17069269	0.042889994	chr2R	17065971	17087633	FBgn0050460	CG30460	1

chr2R	17074642	17074643	0.011879947	chr2R	17065971	17087633	FBgn0050460	CG30460	1

chr2R	17087849	17087850	0.038221741	.	-1	-1		.	0

chr2R	17095063	17095064	0.024684202	chr2R	17093246	17099501	FBgn0010226	GstS1	1

chr2R	17125607	17125608	6.66E-05	chr2R	17124764	17126369	FBgn0000078	Amy-d	1

chr2R	17138020	17138021	0.000802296	chr2R	17137240	17139595	FBgn0034200	Gbp2	1

chr2R	17185461	17185462	0.01485574	chr2R	17185096	17185595	FBgn0265537	lncRNA:CR44387	1

chr2R	17263948	17263949	0.026671456	chr2R	17216549	17379376	FBgn0265487	mbl	1

chr2R	17348923	17348924	0.037627526	chr2R	17216549	17379376	FBgn0265487	mbl	1

chr2R	17382455	17382456	0.021029924	.	-1	-1		.	0

chr2R	17414728	17414729	0.0052395	chr2R	17413970	17420007	FBgn0286070	cnk	1

chr2R	17414918	17414919	0.001687428	chr2R	17413970	17420007	FBgn0286070	cnk	1

chr2R	17415299	17415300	0.022955013	chr2R	17413970	17420007	FBgn0286070	cnk	1

chr2R	17415362	17415363	0.032369711	chr2R	17413970	17420007	FBgn0286070	cnk	1

chr2R	17434786	17434787	0.037792876	chr2R	17432173	17444938	FBgn0027506	EDTP	1

chr2R	17449215	17449216	0.040686334	chr2R	17448533	17452598	FBgn0028956	mthl3	1

chr2R	17464410	17464411	0.010219484	chr2R	17457663	17465795	FBgn0028953	CG14478	1

chr2R	17473613	17473614	0.033045574	chr2R	17469624	17475129	FBgn0022987	qkr54B	1

chr2R	17500487	17500488	0.00047376	.	-1	-1		.	0

chr2R	17504918	17504919	1.03E-07	chr2R	17502354	17508645	FBgn0283508	nw	1

chr2R	17505072	17505073	0.007048333	chr2R	17502354	17508645	FBgn0283508	nw	1

chr2R	17507404	17507405	0.009543859	chr2R	17502354	17508645	FBgn0283508	nw	1

chr2R	17512312	17512313	0.040542625	chr2R	17511513	17513855	FBgn0034229	CG4847	1

chr2R	17513772	17513773	0.001312401	chr2R	17511513	17513855	FBgn0034229	CG4847	1

chr2R	17526072	17526073	0.008297077	chr2R	17519024	17535866	FBgn0263197	Patronin	1

chr2R	17526822	17526823	0.034553681	chr2R	17519024	17535866	FBgn0263197	Patronin	1

chr2R	17532267	17532268	0.032956283	chr2R	17519024	17535866	FBgn0263197	Patronin	1

chr2R	17537499	17537500	0.042048417	chr2R	17536213	17539142	FBgn0034237	eIF3b	1

chr2R	17538982	17538983	0.035766511	chr2R	17536213	17539142	FBgn0034237	eIF3b	1

chr2R	17550697	17550698	0.001362314	chr2R	17547769	17556289	FBgn0034240	MESR4	1

chr2R	17551619	17551620	5.69E-05	chr2R	17547769	17556289	FBgn0034240	MESR4	1

chr2R	17559782	17559783	0.014082884	chr2R	17557031	17563406	FBgn0263076	Klp54D	1

chr2R	17588139	17588140	0.012162117	chr2R	17586425	17590884	FBgn0034249	RhoGAP54D	1

chr2R	17606896	17606897	0.000771093	chr2R	17604951	17639138	FBgn0034253	CG10936	1

chr2R	17619683	17619684	0.03839944	chr2R	17604951	17639138	FBgn0034253	CG10936	1

chr2R	17620643	17620644	0.047151767	chr2R	17604951	17639138	FBgn0034253	CG10936	1

chr2R	17632626	17632627	0.01654865	chr2R	17604951	17639138	FBgn0034253	CG10936	1

chr2R	17632626	17632627	0.01654865	chr2R	17628491	17633516	FBgn0004400	rhi	1

chr2R	17648970	17648971	0.01788086	chr2R	17646848	17665068	FBgn0050106	CCHa1-R	1

chr2R	17668189	17668190	0.004414664	chr2R	17665678	17669275	FBgn0034258	eIF3c	1

chr2R	17682046	17682047	0.047079354	chr2R	17672839	17683499	FBgn0016059	Sema1b	1

chr2R	17688003	17688004	0.027307202	chr2R	17683574	17690822	FBgn0034261	HPS4	1

chr2R	17689753	17689754	0.004125425	chr2R	17683574	17690822	FBgn0034261	HPS4	1

chr2R	17706783	17706784	0.038425812	chr2R	17703335	17719346	FBgn0028494	CG6424	1

chr2R	17706783	17706784	0.038425812	chr2R	17703335	17719346	FBgn0284231	CG46315	1

chr2R	17711955	17711956	0.038894808	chr2R	17703335	17719346	FBgn0028494	CG6424	1

chr2R	17711955	17711956	0.038894808	chr2R	17703335	17719346	FBgn0284231	CG46315	1

chr2R	17724754	17724755	0.004662662	chr2R	17723309	17725056	FBgn0034264	Dlish	1

chr2R	17737081	17737082	0.015588231	chr2R	17734419	17737269	FBgn0034269	CG6406	1

chr2R	17738873	17738874	0.049893659	chr2R	17737622	17739685	FBgn0034270	PIG-A	1

chr2R	17745216	17745217	0.012905433	chr2R	17744101	17746005	FBgn0034272	Ir54a	1

chr2R	17765724	17765725	0.040686334	chr2R	17764574	17767070	FBgn0034277	OstDelta	1

chr2R	17771968	17771969	0.001687428	chr2R	17770405	17772552	FBgn0028740	CG6362	1

chr2R	17808806	17808807	0.00614256	chr2R	17801132	17842820	FBgn0259211	grh	1

chr2R	17820598	17820599	0.015364075	chr2R	17801132	17842820	FBgn0259211	grh	1

chr2R	17827883	17827884	0.049609904	chr2R	17801132	17842820	FBgn0259211	grh	1

chr2R	17877386	17877387	0.035021358	chr2R	17873939	17926695	FBgn0011589	Elk	1

chr2R	17880718	17880719	0.049933434	chr2R	17880194	17882245	FBgn0050110	CG30110	1

chr2R	17880718	17880719	0.049933434	chr2R	17873939	17926695	FBgn0011589	Elk	1

chr2R	17920932	17920933	0.037083651	chr2R	17873939	17926695	FBgn0011589	Elk	1

chr2R	17929640	17929641	0.023562645	.	-1	-1		.	0

chr2R	17937324	17937325	0.025379805	.	-1	-1		.	0

chr2R	17937555	17937556	0.035422142	.	-1	-1		.	0

chr2R	17956291	17956292	0.026399336	chr2R	17955396	17956570	FBgn0003140	PpY-55A	1

chr2R	18022897	18022898	0.049206969	.	-1	-1		.	0

chr2R	18119414	18119415	0.036874776	chr2R	18117896	18125779	FBgn0003520	stau	1

chr2R	18121977	18121978	0.002626554	chr2R	18117896	18125779	FBgn0003520	stau	1

chr2R	18124119	18124120	0.0272229	chr2R	18117896	18125779	FBgn0003520	stau	1

chr2R	18130378	18130379	0.01695603	chr2R	18130303	18134634	FBgn0001222	Hsf	1

chr2R	18142580	18142581	0.017400098	chr2R	18140078	18147191	FBgn0265297	pAbp	1

chr2R	18143390	18143391	0.010866963	chr2R	18140078	18147191	FBgn0265297	pAbp	1

chr2R	18144095	18144096	0.01037744	chr2R	18140078	18147191	FBgn0265297	pAbp	1

chr2R	18145031	18145032	0.026547186	chr2R	18140078	18147191	FBgn0265297	pAbp	1

chr2R	18153198	18153199	0.001415871	chr2R	18151704	18154060	FBgn0000057	adp	1

chr2R	18159585	18159586	0.036446133	chr2R	18158257	18160310	FBgn0034307	CG10914	1

chr2R	18191288	18191289	0.038392213	chr2R	18184382	18192851	FBgn0053958	CG33958	1

chr2R	18235666	18235667	0.041385041	chr2R	18232761	18236311	FBgn0000658	fj	1

chr2R	18246094	18246095	0.005780505	.	-1	-1		.	0

chr2R	18257187	18257188	0.000282354	chr2R	18257096	18257595	FBgn0265594	lncRNA:CR44421	1

chr2R	18261634	18261635	0.049944965	.	-1	-1		.	0

chr2R	18285608	18285609	0.028879832	chr2R	18278198	18357296	FBgn0285917	sbb	1

chr2R	18287440	18287441	0.044526043	chr2R	18278198	18357296	FBgn0285917	sbb	1

chr2R	18379003	18379004	0.011437058	.	-1	-1		.	0

chr2R	18386614	18386615	0.040304042	chr2R	18386602	18387030	FBgn0025583	IM2	1

chr2R	18403622	18403623	0.025284662	chr2R	18403248	18404086	FBgn0063496	GstE4	1

chr2R	18406870	18406871	0.021313053	.	-1	-1		.	0

chr2R	18410265	18410266	0.018107447	chr2R	18409796	18413599	FBgn0013983	imd	1

chr2R	18425503	18425504	0.031389383	chr2R	18421413	18426221	FBgn0034345	CG5174	1

chr2R	18427747	18427748	0.030358066	chr2R	18426421	18430333	FBgn0034346	PIG-O	1

chr2R	18452609	18452610	0.015888503	chr2R	18451284	18452736	FBgn0034351	rswl	1

chr2R	18470425	18470426	0.001088158	chr2R	18456602	18498026	FBgn0028496	CG30116	1

chr2R	18471800	18471801	0.033507387	chr2R	18456602	18498026	FBgn0028496	CG30116	1

chr2R	18476154	18476155	0.002929346	chr2R	18456602	18498026	FBgn0028496	CG30116	1

chr2R	18476637	18476638	0.018744118	chr2R	18456602	18498026	FBgn0028496	CG30116	1

chr2R	18508515	18508516	0.021921316	.	-1	-1		.	0

chr2R	18531735	18531736	0.044040751	chr2R	18527430	18535749	FBgn0034356	Pepck2	1

chr2R	18534292	18534293	0.007636449	chr2R	18527430	18535749	FBgn0034356	Pepck2	1

chr2R	18542904	18542905	0.045651866	chr2R	18539585	18548969	FBgn0085419	Rgk2	1

chr2R	18560672	18560673	0.023966663	chr2R	18554119	18611777	FBgn0050115	GEFmeso	1

chr2R	18567891	18567892	0.047699352	chr2R	18554119	18611777	FBgn0050115	GEFmeso	1

chr2R	18589955	18589956	0.004968691	chr2R	18554119	18611777	FBgn0050115	GEFmeso	1

chr2R	18626002	18626003	0.009588415	chr2R	18625249	18627718	FBgn0266671	Sec6	1

chr2R	18661712	18661713	0.010518555	.	-1	-1		.	0

chr2R	18663537	18663538	0.005830813	.	-1	-1		.	0

chr2R	18669341	18669342	0.035053169	chr2R	18667527	18673536	FBgn0023214	edl	1

chr2R	18681671	18681672	0.021882704	chr2R	18678680	18684198	FBgn0265626	CG44434	1

chr2R	18681671	18681672	0.021882704	chr2R	18678680	18684198	FBgn0265627	CG44435	1

chr2R	18683287	18683288	0.000953911	chr2R	18678680	18684198	FBgn0265626	CG44434	1

chr2R	18683287	18683288	0.000953911	chr2R	18678680	18684198	FBgn0265627	CG44435	1

chr2R	18700733	18700734	0.000141676	chr2R	18688132	18705805	FBgn0262103	Sik3	1

chr2R	18714382	18714383	0.044882658	.	-1	-1		.	0

chr2R	18790005	18790006	0.024786928	chr2R	18783299	18794594	FBgn0034391	CG15080	1

chr2R	18797363	18797364	0.014918039	chr2R	18796975	18803727	FBgn0010651	MFS14	1

chr2R	18798484	18798485	0.007636449	chr2R	18796975	18803727	FBgn0010651	MFS14	1

chr2R	18817893	18817894	0.049608369	.	-1	-1		.	0

chr2R	18819948	18819949	0.005363709	chr2R	18819467	18822250	FBgn0010551	Phb2	1

chr2R	18825804	18825805	0.029242209	chr2R	18822188	18829699	FBgn0034396	CG15097	1

chr2R	18825819	18825820	0.042889994	chr2R	18822188	18829699	FBgn0034396	CG15097	1

chr2R	18836778	18836779	0.034880124	chr2R	18835263	18836842	FBgn0034399	CG15083	1

chr2R	18862573	18862574	0.037868023	.	-1	-1		.	0

chr2R	18873095	18873096	0.01695603	.	-1	-1		.	0

chr2R	18907728	18907729	0.000896622	chr2R	18878391	18959500	FBgn0034408	sano	1

chr2R	18957366	18957367	0.048013728	chr2R	18878391	18959500	FBgn0034408	sano	1

chr2R	18994036	18994037	0.043634945	chr2R	18987344	19008944	FBgn0265356	tn	1

chr2R	19006134	19006135	0.049058749	chr2R	18987344	19008944	FBgn0265356	tn	1

chr2R	19027678	19027679	0.038585176	chr2R	19022325	19032642	FBgn0263116	5-HT1B	1

chr2R	19045854	19045855	0.029701024	.	-1	-1		.	0

chr2R	19064021	19064022	0.015364075	.	-1	-1		.	0

chr2R	19084910	19084911	0.030027846	chr2R	19067155	19121958	FBgn0004168	5-HT1A	1

chr2R	19147016	19147017	0.019633502	chr2R	19141632	19163705	FBgn0000578	ena	1

chr2R	19156422	19156423	0.038221741	chr2R	19141632	19163705	FBgn0000578	ena	1

chr2R	19161794	19161795	0.009915169	chr2R	19141632	19163705	FBgn0000578	ena	1

chr2R	19170876	19170877	0.025379805	chr2R	19164143	19178223	FBgn0034420	CG10737	1

chr2R	19176700	19176701	0.027442186	chr2R	19164143	19178223	FBgn0034420	CG10737	1

chr2R	19202507	19202508	0.040812145	chr2R	19178738	19227193	FBgn0263395	hppy	1

chr2R	19204039	19204040	0.011571609	chr2R	19178738	19227193	FBgn0263395	hppy	1

chr2R	19235792	19235793	0.002392393	chr2R	19229063	19243751	FBgn0010434	cora	1

chr2R	19242520	19242521	0.005481831	chr2R	19229063	19243751	FBgn0010434	cora	1

chr2R	19282276	19282277	0.026092865	chr2R	19281418	19283961	FBgn0034425	CG11906	1

chr2R	19300756	19300757	0.007940229	chr2R	19292529	19304508	FBgn0086358	Tab2	1

chr2R	19314649	19314650	0.018178458	chr2R	19311148	19356525	FBgn0264753	Rgk1	1

chr2R	19319395	19319396	0.021921316	chr2R	19311148	19356525	FBgn0264753	Rgk1	1

chr2R	19329786	19329787	0.007593564	chr2R	19311148	19356525	FBgn0264753	Rgk1	1

